Gene	Test	Fit Error(Adj)	Pure Error(Adj)	F-Statistic	F-Critical Value	AIC	AICc	RSS	Fine AIC	Fine AICc	Fine RSS	Density-Compensated AICc
Tet1 	 U 	 Inf 	 0.1190476 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
Tet1 	 LR 	 0.1411881 	 0.1190476 	 1.18598 	 1.539686 	 -117.362 	 -116.882 	 0.367089 	 -5943.265 	 -5943.253 	 2.631178 	 -161.8771 
Tet1 	 N1 	 0.1272321 	 0.1190476 	 1.068749 	 1.549845 	 -119.3744 	 -118.3744 	 0.3180801 	 -6193.954 	 -6193.93 	 2.044175 	 -166.4253 
Tet1 	 N2 	 0.1531817 	 0.1190476 	 1.286726 	 1.584657 	 -111.7566 	 -107.7566 	 0.3369998 	 -8029.344 	 -8029.26 	 0.3247966 	 -208.9327 
Tet1 	 N3 	 0.1897198 	 0.1190476 	 1.593646 	 1.627977 	 -103.8716 	 -93.87161 	 0.3604677 	 -8786.978 	 -8786.797 	 0.151461 	 -218.2931 
PHC1 	 U 	 Inf 	 0.1845238 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
PHC1 	 LR 	 0.1981981 	 0.1845238 	 1.074106 	 1.539686 	 -107.8651 	 -107.3851 	 0.5153151 	 -4377.588 	 -4377.576 	 12.5729 	 -118.0819 
PHC1 	 N1 	 0.2462156 	 0.1845238 	 1.33433 	 1.549845 	 -100.8889 	 -99.88892 	 0.6155391 	 -5035.318 	 -5035.294 	 6.504362 	 -134.0159 
PHC1 	 N2 	 0.2784176 	 0.1845238 	 1.508844 	 1.584657 	 -95.02665 	 -91.02665 	 0.6125187 	 -7348.538 	 -7348.454 	 0.6411896 	 -189.8892 
PHC1 	 N3 	 0.3204538 	 0.1845238 	 1.736653 	 1.627977 	 -89.1943 	 -79.1943 	 0.6088622 	 -7739.687 	 -7739.505 	 0.4312005 	 -188.9982 
SNAI2 	 U 	 Inf 	 0.1642857 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
